,POP,RHO,R0
0,12728,5.458437331903139,1.9696453795123694
1,12769,5.078196026241018,1.6000579506763373
2,13283,1.0812266229919378,1.5683949646437712
3,13901,1.104719747238596,1.8011158133937357
4,14070,13.179437716665696,1.8202671001048814
5,14179,5.48323571931108,1.62032365529813
6,14714,6.229255571360834,1.823686154099231
7,15976,2.340588366133069,1.7923226654571973
8,16016,10.901529835314475,1.8955845572917387
9,16073,14.392911162166907,2.015720088984778
10,16700,25.77913180823784,2.4029378061922104
11,16831,0.6740605095921481,2.514586796801496
12,17070,27.44652309471366,1.645758583030511
13,17258,17.506950588057233,1.914630494376338
14,17782,9.869242252877935,1.9812183876194658
15,18295,16.219390056959806,2.0202695201988754
16,18453,5.660327179978252,2.025295690024131
17,18500,2.918513355992672,2.230793857884111
18,18546,4.783727217873136,2.693416922789829
19,18705,4.812393948202999,1.8436045204976146
20,19369,68.50213775193166,1.5035739619614845
21,19618,11.73797826517492,1.9607458444978423
22,19620,13.17624987005075,3.7894288130984264
23,19983,3.7797458508196,3.6472007565593936
24,19983,4.008064507394371,2.2411804350725526
25,20211,6.280968209493643,1.5058167347366505
26,20226,3.752182048022068,1.7387494964455519
27,20704,3.598033232730675,2.3067092486809044
28,20758,18.98716404413972,2.432410012392535
29,20938,9.109744973259431,2.339662085353892
30,20940,8.98636428652323,3.2040481341239144
31,21290,16.2182882568014,2.133136655122121
32,21358,13.963816859422652,1.5712164024282045
33,21428,12.93723076365766,3.6306869824724046
34,21513,9.754873934136167,2.0193369536335686
35,21629,11.677875083504986,3.9285107058190976
36,21859,9.358698993988025,1.62032365529813
37,21886,9.125774107360984,2.3523742624477406
38,22015,2.662231701855106,2.1125205054495533
39,22092,9.726475243716624,1.7917958149743969
40,22095,14.94392325769546,2.4778696340550552
41,22124,15.4624664073654,2.5068541992895046
42,22320,9.950420425324303,2.139040331777089
43,22372,31.68918423155712,2.7870180882187503
44,22384,3.9522170182422434,2.138589111912804
45,22409,4.705949553791604,3.3304149980547173
46,22761,11.63207265126524,3.0633867167069693
47,22814,16.901708128970395,2.23337382974484
48,22925,5.438752013168589,1.6000579506763373
49,23021,9.784802770194508,1.820757345213229
50,23102,41.48500590526543,2.2410422611736207
51,23228,10.307607167629923,1.6865516403426408
52,23382,17.29629126889401,1.7489451479801696
53,23457,11.822670526410493,1.975027388817932
54,23709,3.087172846952153,1.8500284812409737
55,24404,3.1628429562026734,1.5559157893625906
56,24530,11.799716527804735,1.9829702240740026
57,24748,19.79616382533429,1.680983539230449
58,24789,30.54523032821368,2.0346549505210083
59,24874,12.081392077114971,2.617465576856596
60,24909,1.950603902551591,1.6767537919538562
61,24994,15.202660885349106,3.1325331894674795
62,25008,15.800616039533384,1.8202671001048814
63,25110,13.894633744150047,2.4736928015290562
64,25388,14.160286320230847,2.752353835399533
65,25474,13.764444183163397,2.2242755927882323
66,25544,17.24945477568956,2.1475235342265693
67,25585,6.71423023692507,3.601972516233784
68,25638,4.190819633468542,2.415534847649768
69,25769,37.35749201900218,1.7145316571178617
70,25779,11.116017258523405,2.2867023596296727
71,25844,12.472349355505198,1.6865516403426408
72,25925,55.87926371714682,2.714144468818379
73,26032,27.997117690711008,2.8335284554315137
74,26118,21.02314066789644,2.6816994063802744
75,26234,17.721289656485695,2.3999795055630826
76,26320,31.41900248009573,2.8646588907659374
77,26404,17.072369284580827,2.7368479837450357
78,26559,27.52352619491681,2.693206842604666
79,26675,2.268812242641845,2.6710461295681873
80,26682,4.325779544967291,1.9008321788231788
81,26835,5.08737748562752,1.5480229189975638
82,26937,16.30716877353649,2.653675437488785
83,26988,9.846889766754444,2.0806091305215038
84,26998,2.63122457774659,1.8687027445403899
85,27277,2.233261708814211,1.7284172077116404
86,27511,3.4546035508718536,2.1421854947051395
87,27593,12.120627499991985,1.800657871539661
88,27735,28.436173478395585,2.64249764728358
89,27812,10.67025441758393,2.2534771373089995
90,28009,15.707023550160804,2.1144368499849118
91,28275,26.681465482912348,1.5035739619614845
92,28405,19.17808811104373,2.5658546963532447
93,28525,27.102848492749075,2.2189890472157305
94,28542,12.268112282584546,2.037824046786098
95,28553,12.250474296678918,1.6734314147908191
96,28571,8.103127851027011,1.6584601976344353
97,28618,17.87758607484848,1.7477671276010016
98,28695,10.65630826711159,2.715634796337656
99,29003,11.324679413917092,1.788087988680547
100,29068,8.765153911706241,3.440739794643684
101,29131,20.787495790730123,2.037824046786098
102,29144,22.729128512149096,2.221970709613812
103,29189,11.840725548581274,1.6578648602595965
104,29493,2.3147234138617394,3.213085115514214
105,29534,9.12539116764469,1.5223337591368387
106,29682,19.443565023042808,2.553156843064523
107,29927,18.00434144851235,1.8853800929861995
108,30003,13.244803325066751,2.209918052357107
109,30281,16.534678458903098,2.655371462918122
110,30485,4.663358519752563,1.892320965447684
111,30573,2.59937881877554,1.6360688478167127
112,30628,13.490631239356384,2.6681727941824556
113,30996,29.017209144745937,2.50136183080792
114,31011,19.6813713481476,2.791375268217864
115,31084,5.129654306450737,2.149288066398755
116,31127,25.52599022587553,2.051654574929025
117,31363,21.498156140512386,3.039184723127645
118,31489,9.108826481498312,2.196073503413935
119,31670,31.79189648952012,1.970322010039298
120,31829,19.0965288163554,1.975027388817932
121,31929,22.79675135048029,2.6791444699009195
122,31974,4.569020568694876,2.1349619503991613
123,32019,27.245885887398646,1.8532020817519892
124,32304,17.582377389532937,2.1614388241206104
125,32308,34.58983244358838,2.1409302277723925
126,32345,22.217429262439047,2.0004250843024636
127,32399,30.88173996905821,2.978079741776097
128,32413,29.775569390130418,1.823686154099231
129,32565,14.284012398163084,1.7805658116193706
130,32723,5.734785341795432,1.9655619429755715
131,32750,31.14096206079952,2.8253383052094523
132,33114,19.023238234950952,2.7046575833506803
133,33167,40.604323374315136,2.9359585507783574
134,33195,15.12336993238972,3.0784878831178903
135,33254,21.523447671336296,3.1660144242661166
136,33328,22.17236485621626,2.1294622822160703
137,33351,29.98168520066585,2.5500644254508433
138,33406,12.837987715560676,2.1294622822160703
139,33470,19.17155731356248,3.403585336967006
140,33619,11.818868657351,3.989703509806472
141,33771,21.19472714401193,2.138589111912804
142,34008,27.4249173534858,1.62032365529813
143,34016,40.57208839266855,2.172419320796133
144,34091,11.197403881368151,2.8499667693700217
145,34096,18.16040662778144,2.4338388991291233
146,34153,22.49792958180319,2.903727866199455
147,34340,15.31733740606199,1.788087988680547
148,34375,35.34917373941504,2.1130004085938885
149,34385,35.07268056973497,1.7923226654571973
150,34594,43.23414500147847,2.5340963912518735
151,34781,20.67233806277232,3.2238470829794257
152,34823,42.16770815484944,2.424988489281725
153,34908,11.972455943142151,1.8823683763269787
154,34915,18.762797824149565,1.7570931746437883
155,35077,17.095521696574448,1.8721630395816817
156,35470,20.28946145808868,2.3899739489562584
157,35516,36.68077603451026,2.75464206839483
158,35606,3.09291005919006,2.555615795535788
159,35648,13.179965875098455,2.1313034562721875
160,35723,18.03622776004824,2.388453496139288
161,35777,40.74422179014693,1.6578648602595965
162,35784,11.797640010431405,1.8819949896920647
163,35882,22.939074516191827,2.2184900896602406
164,35893,28.19765429894227,2.247916869085049
165,35904,19.37138182631601,2.192773353819383
166,36002,23.031806373148147,2.320741505407466
167,36004,31.98830637448121,2.0108478491103505
168,36038,18.546693299769025,2.267073564385559
169,36156,3.4954579976627147,2.223268723430979
170,36520,36.84930380343944,2.070117716799475
171,36565,26.702276517865403,3.2307068109759407
172,36594,27.3801087707256,1.983261471546691
173,36600,25.05944943567969,1.9200206636859898
174,36643,12.858432806082496,2.1435758922709174
175,36649,32.93423263166078,2.6212015412493814
176,36953,35.66535238368056,1.823686154099231
177,37084,18.6635904925202,1.495614428005577
178,37159,28.003638762329448,2.3091469291547613
179,37181,53.45795209502665,2.457457961021633
180,37185,19.65601004510125,2.917939742608675
181,37196,14.67394498966993,2.8720100331669456
182,37205,25.097604418311665,2.2779787861006144
183,37266,26.0782560416446,2.781162352024367
184,37349,9.253258634041735,1.323612610018082
185,37497,12.509380283759466,2.3088429605153107
186,37529,4.0790939235587,2.518594278721952
187,37589,6.986197849777324,1.883892265237659
188,37684,25.47368900643757,2.517558692802346
189,37689,35.30604001294995,3.9241118511832127
190,37726,5.92526641121396,1.6518598070698047
191,37800,9.420668982639278,1.5317146461231035
192,37825,19.116757777664905,2.0847331939401657
193,37864,15.479500883395296,2.245988913186237
194,38001,23.031112881362468,2.503723859332761
195,38073,8.16208682905703,1.8168182970510192
196,38087,35.73957469840423,2.104766791164855
197,38130,12.059509266213178,3.044409124861673
198,38141,23.10725690609576,2.261686015333251
199,38158,11.765077686419271,2.6870021023290236
200,38280,35.19113021720227,2.575497075624065
201,38284,20.517277193752683,1.6865516403426406
202,38338,29.334172137525226,2.948837460509834
203,38440,23.556756462603715,2.2657329313189485
204,38609,18.18586044522363,2.0824470590850876
205,38632,16.797484308013825,2.2442640134610223
206,38682,14.371623767222347,2.6105944914114034
207,38818,25.41312531817144,1.5602293788075798
208,38837,3.2438412787134285,1.9829702240740026
209,38839,16.538825295856288,1.6332543208823476
210,38875,28.74035904193875,2.2129630262971594
211,38880,3.5124344878570586,2.0181348426939687
212,38885,35.023476132021166,2.0255913879936185
213,38921,2.564037429346839,2.110380968538477
214,39001,39.110438829933926,2.319951650465672
215,39191,17.114552256045684,1.323612610018082
216,39261,1.6505880738699146,2.7280931811391733
217,39369,26.55089275176612,3.3550882977196173
218,40062,21.74511642690969,2.268531369618628
219,40108,14.391927774827405,1.5549382997747603
220,40117,16.70443697944372,1.610701943871601
221,40224,18.7328893679536,2.184567574687804
222,40305,7.163040014442309,3.7218985849089656
223,40372,47.42065890190377,2.246515571787394
224,40482,18.07012477902797,1.9052197817360383
225,40525,61.37893514325337,2.446982975616361
226,40625,16.01851326116032,1.6865516403426408
227,40644,60.60815731756563,2.903560777091038
228,40651,17.4282585422197,2.3009679429340033
229,40711,27.65107979195162,2.423009313674846
230,41025,20.505616264619967,2.0108478491103505
231,41172,34.37458124451313,2.838720380056202
232,41257,18.20995887939964,2.041538433281646
233,41277,36.83337717728029,2.063694162976355
234,41494,39.87368879476697,2.5875805032258246
235,41556,14.77216558006504,2.12575571697022
236,41932,29.208994352964915,1.7382124854280092
237,41968,39.64926349187874,2.2684100725107252
238,42022,14.074786748827089,3.112669257272042
239,42145,8.69376173242691,3.016245967616775
240,42168,21.17423506142602,2.4485733381523653
241,42339,23.96163150758443,2.5052917318166905
242,42343,1.5679675301893368,2.0172309614891097
243,42478,23.6094436218236,2.2189890472157305
244,42613,53.017419369367296,2.435161651123484
245,42664,37.6542091402539,3.2597385234042666
246,42668,5.8029163258579874,2.9846296268304973
247,42698,15.221282360063787,1.645758583030511
248,42758,7.367733435480122,2.6950523169758
249,43143,19.141304648750868,2.2114432356313722
250,43199,20.932931612031503,3.323327802900148
251,43273,29.05185534293516,2.979796891077428
252,43453,30.22541315008932,1.9311698474859604
253,43475,46.26457826391678,2.1545381085683584
254,43517,33.18113336479354,2.6022117619505045
255,43538,18.27714504260882,2.3234948535614097
256,43654,12.911024661671943,2.189581106878304
257,43909,23.39222597522126,2.7298025406134165
258,43938,34.56776991702414,2.3818040229203596
259,43969,18.175679189361983,3.3736959846661305
260,44142,27.616941719318856,2.005089960158023
261,44231,33.53086760049121,3.1221259303497946
262,44451,31.51404381665124,2.921573598215952
263,44498,30.43416527438352,2.8721438342525665
264,44535,67.82494751885727,2.9676480351522194
265,44573,25.61798879045597,1.4967621465644285
266,44686,31.83262334553848,2.762462639802526
267,44829,36.52968259780973,2.8025781255489437
268,44923,54.89204267607964,2.2741545787733086
269,45069,5.237100976370901,2.440614722343056
270,45144,19.92833146221969,2.984346667294033
271,45185,12.363103290232612,1.6753334421876882
